Title,Link,Content
"The world’s ice sheets just got a dire prognosis, and coastlines are going to pay the price",https://www.cnn.com/2025/05/20/climate/ice-sheets-sea-level-rise,"The world’s ice sheets just got a dire prognosis, and coastlines are going to pay the price
The world’s ice sheets are on course for runaway melting, leading to multiple feet of sea level rise and “catastrophic” migration away from coastlines, even if the world pulls off the miraculous and keeps global warming to within 1.5 degrees Celsius, according to new research.
A group of international scientists set out to establish what a “safe limit” of warming would be for the survival of the Greenland and Antarctic ice sheets. They pored over studies that took data from satellites, climate models and evidence from the past, from things like ice cores, deep-sea sediments and even octopus DNA.
What they found painted a dire picture.
The world has pledged to restrict global warming to 1.5 degrees Celsius above pre-industrial levels to stave off the most catastrophic impacts of climate change.
However, not only is this limit speeding out of reach — the world is currently on track for up to 2.9 degrees of warming by 2100. But the most alarming finding of the study, published Tuesday in the journal Communications Earth and Environment, is that 1.5 might not even be good enough to save the ice sheets.
Even if the world sustains today’s level of warming, at 1.2 degrees, it could still trigger rapid ice sheet retreat and catastrophic sea level rise, the scientists found.
The Greenland and Antarctic ice sheets together hold enough fresh water to raise global sea levels by around 213 feet — an unlikely scenario but one that must be acknowledged to fully understand the risk.
Since the 1990s, the amount of ice they’ve lost has quadrupled; they are currently losing around 370 billion tons a year. Ice sheet melting is the dominant contributor to rising seas and the rate of annual sea level rise has doubled over the past 30 years.
It’s set to get worse.
Multiple studies suggest 1.5 degrees of warming is “far too high” to prevent rapid ice sheet retreat that would be irreversible on human timescales, and the world should prepare for many feet of sea level rise over the coming centuries, according to the study.
“You don’t slow sea level rise at 1.5, in fact, you see quite a rapid acceleration,” said Chris Stokes, a study author and glaciologist at Durham University.
It’s an existential threat to the world’s coastal populations. Around 230 million people live less than 1 meter (3.2 feet) ﻿above sea level. Even small changes in the amount of ice held in the ice sheets will “profoundly alter” global coastlines, displacing hundreds of millions of people and causing damage that stretches the limits of adaptation, the study found.
Seas could surge by 0.4 inches a year by the end of the century, within the lifetimes of young people now, the scientists found.
At this level, which equates to 40 inches a century, “you’re going to see massive land migration on scales that we’ve never witnessed since modern civilization,” said Jonathan Bamber, a study author and glaciologist at the University of Bristol.
There are still huge uncertainties about where tipping points lie. The way climate change unfolds is not linear and it’s unclear exactly when warming might trigger rapid retreat and even collapse.
What’s hugely concerning, the study authors say, is that the best estimates of “safe” temperature thresholds for saving the ice sheets keep going down as scientists better understand their vulnerability to climate change.
Early modeling suggested temperatures would need to hit around 3 degrees of warming to destabilize the Greenland ice sheet, for example, but recent estimates suggest it would only take around 1.5 degrees.
To avoid the rapid collapse of one of more ice sheets means limiting global warming to closer to 1 degree above pre-industrial levels, the study authors concluded.
This would require drastic cuts to the amount of fossil fuels humans burn, something which looks exceptionally unlikely as countries including the US continue to embrace oil, coal and gas.
The world is already starting to see some of the worst-case scenarios play out in terms of ice loss, Stokes said.
“There’s very little that we’re observing that gives us hope here,” he said. “The absolute best-case scenario is that sea level rise is slow and steady,” he added.
The findings don’t mean the world should give up on climate targets, as every fraction of a degree of warming translates to worse impacts, Stokes said.
“Limiting warming to 1.5 will be a major achievement. It should absolutely be our target, but in no sense will it slow or stop sea level rise and melting ice sheets.”"
US heat risk forecast: See where Americans are at the most risk for extreme heat this year,https://www.cnn.com/2024/05/26/weather/extreme-heat-risk-tracker-dg,"US heat risk forecast: See where Americans are at the most risk for extreme heat this year
High temperatures affect public health across wide swaths of the United States each summer, causing spikes in emergency room visits and hundreds of heat-related deaths. As temperatures rise, CNN is tracking extreme heat conditions and the potential risk for Americans each day.
To help prepare Americans for the dangerous temperatures, the National Weather Service and the US Centers for Disease Control and Prevention has a national forecast predicting heat-related risks.
It considers the severity and unusualness of forecast heat and its potential duration, while also factoring the likely impact on residents in specific locations based on CDC data for past effects, such as deaths.
This map shows the latest forecast.
A large slice of the American population lives in places that will be subject to heat advisories, warnings and watches from National Weather Service this year. More than 60 million people, on average, endured such conditions during summer 2023, according to data released by the service.
As the planet warms, heat waves are now more common, intense and long-lasting, and temperatures are warming even faster overnight — not cooling down enough to offer relief.
As those temperatures rise, heat records will also fall.
The weather service each day releases a forecast for potential record-breaking temperatures, by location, across the country. Here are places where high temperature records could be broken over the next three days.
Forecasters from the National Weather Service also try to predict average temperatures across regions of the country over the coming weeks. This map shows the chance that areas of the continental United States will be above, below or near normal average temperatures.
Darker shades represent areas where the average temperature has an increased chance of being warmer or cooler than usual. Gray areas are expected to be near normal.
Predictions often hold true, breaking daily high temperature records. This map highlights locations across the continental United States where temperatures exceeded calendar day records, according to the Southeastern Regional Climate Center."
Earth science societies take on US climate report after Trump administration dismisses researchers,https://www.cnn.com/2025/05/02/climate/agu-ams-national-climate-assessment-trump,"Earth science societies take on US climate report after Trump administration dismisses researchers
Only days after the Trump administration dismissed authors of a congressionally mandated climate report, two of the biggest and most reputable Earth science societies announced they will pick up the slack and pursue a collection of reports in its place.
The announcement Friday morning from the American Geophysical Union and American Meteorological Society is a solicitation for authors to contribute scientific studies that would have gone into the Sixth National Climate Assessment.
The new research will be published in a special collection across 29 peer-reviewed research journals. The official assessment was on track to publish in 2028. It is unclear whether the administration will seek to publish an assessment with a different viewpoint.
“The new special collection does not replace the NCA but instead creates a mechanism for this important work to continue,” the AGU and AMS said in a joint statement.
The move is a pointed response to the administration’s actions to either abandon the NCA entirely or produce an alternate report downplaying the threat climate change poses to the United States, according to Brandon Jones, president of AGU.
The dismissals followed other attacks on climate science and efforts to defund climate research, Jones told CNN.
US weather forecasting is more crippled than previously known as hurricane season nears
He compared the special collection of studies to a library that will grow over time. “We’re responding in this collaborative way with a sibling society to stand up for science and maintain the missions that we hold dear as societal organizations,” Jones said.
Congress mandated the NCA to be produced every four years, with the next one due out by the end of Trump’s second term in office. The assessment provides detailed information on how the climate crisis is affecting the US in terms of extreme weather impacts, adaptation and mitigation options for the country as well as regions, states and localities.
The administration sent an email to about 400 of the report’s authors earlier this week, many of them located in academia, and told them their work was no longer needed as the assessment is being rethought."
"Trump administration dismisses all authors of major climate report, throwing US assessment into limbo",https://www.cnn.com/2025/04/29/climate/trump-dismisses-climate-report-authors/index.html,"Trump administration dismisses all authors of major climate report, throwing US assessment into limbo
The Trump administration has dismissed all the scientists and other authors working on the next authoritative look at how climate change is affecting the United States, according to an email sent to authors Monday and confirmed by CNN.
The move will allow the administration to either skip the congressionally mandated report altogether, or pursue an alternative, potentially far more skeptical take on what is otherwise widely accepted climate science. The latter would fly in the face of the overwhelming scientific evidence pointing to the threats global warming poses to the US.
The last National Climate Assessment came out in 2023. It found that climate change is already transforming every region of the country, with more frequent and intense extreme weather events and a slew of other costly and harmful effects.
During the first Trump administration, the Fourth Assessment came out after being worked on mainly under the Obama White House. Trump officials sought to deep-six the findings by publishing it the day after Thanksgiving.
Congress mandated these reports — conducted by a mix of federal and outside scientists under the US Global Change Research Program — be produced every four years. The next is due by 2027.
Before the dismissal of about 400 authors slated to work on the next iteration, NASA had already canceled a key contract with the consulting firm ICF to support the US Global Change Research Program, which produces the reports.
This was an early indication of trouble in the assessment process.
Climate scientists told CNN the reports are uniquely valuable for officials at the regional, state and local levels, and expressed concern over the potential for an alternative report featuring fringe scientific views.
“Losing this report makes us less prepared for extreme weather, wildfire, sea level rise and other important changes we face on a warming planet,” said Dustin Mulvaney, a professor at San Jose State University who was slated to be a contributing author to the sixth assessment report.
Meade Krosby, a climate scientist at the University of Washington, told CNN the reports are “A crucial resource for communities, local and state governments, and businesses asking how climate change is affecting the things they care about now and into the future, and what can be done to reduce risks.”
She said the reports’ credibility, as products of every federal agency that works on climate change, plus outside experts, give it valuable credibility.
“What’s at risk with this dismissal is not only the report itself, but its credibility if it moves forward without the experts that ensure its scientific integrity,” she said.
“Its loss or potential adulteration, if completed, would have real impact on the ability of our communities to understand and prepare for climate risks,” Krosby said. “It’s Congressionally mandated for a reason.”
There is more than just the assessment process that may be modified, though, as the website for the Global Change Research Program states: “The operations and structure of the USGCRP are currently under review.”"
How Pope Francis united a once-skeptical Church with climate action,https://www.cnn.com/2025/04/27/europe/catholic-church-climate-pope-francis-intl/index.html,"How Pope Francis united a once-skeptical Church with climate action
Follow:
When Jorge Mario Bergoglio was elected to lead the Catholic church in 2013, he chose the papal name Francis, after the 13th-century figure St. Francis of Assisi, known as the patron saint of ecologists and champion of the poor.
It was a befitting choice. Pope Francis was the fiercest climate and environment advocate in the church’s history.
The pope spoke often about the importance of environmental stewardship in a way none of his predecessors had, connecting climate change to social inequities, going so far as to blame industry, world leaders and “irresponsible” Western lifestyles for the worsening crisis.
In his landmark 2015 encyclical “Laudato Si’” on the “care for our common home,” Pope Francis was able to dissolve some of the long-standing tensions between the Catholic church and ecological science, eliminating room for climate denial in the church and bringing the Vatican into the world of international climate action.
In the encyclical, a kind of letter addressing the world’s more than 1 billion Catholics, the pontiff argued that Catholic values were aligned with climate change action. He drew points from the Bible, including the first book of Genesis, which outlines the creation of the Earth and how humans are tasked with keeping it safe and clean.
He argued that God gave humans the Earth to cultivate and protect, not to conquer and destroy, underscoring how the planet had suffered from human activities since it began rapidly burning fossil fuels to industrialize. “Never have we hurt and mistreated our common home as we have in the last 200 years,” he wrote.
The pope touched on a series of woes wreaking havoc on the planet: polluted air, water poverty, toxic waste, industrial pollution, rising sea levels and extreme weather.
“The Earth, our home, is beginning to look more and more like an immense pile of filth,” he wrote, using frank language. “In many parts of the planet, the elderly lament that once beautiful landscapes are now covered with rubbish.”
The timing was crucial and intentional. Pope Francis pushed the Vatican to publish the encyclical early, so that it would play into the UN COP21 climate summit in Paris later that year. The pope was seen as highly influential in the landmark agreement eventually reached.
Although popes in the past had addressed issues like environmental destruction, Alberto Pallecchi, head of faith and sustainability at the non-profit World Resources Institute, told CNN that Pope Francis’ attention to climate change and the environment was “unprecedented for a pontiff,” with “its significance and reach unparalleled to any faith leader.”
“He has consistently put his moral authority on the line, pushing governments, the private sector, and rallying the global environmental faith-based movement,” Pallecchi said, in an interview conducted before Francis’ death.
He put “climate change firmly on the Catholic Church agenda,” he added.
In 2022, Vatican City, which is also a country, became party to the UN’s international climate framework, which presides over annual climate summits. And in the lead up to the COP28 climate talks in Dubai in 2023, the pope published an Apostolic exhortation, calling for binding action on climate.
The 12-page document was the pope’s strongest statement following the encyclical. In it, he blasted the greed and selfishness of the wealthy who consume the most, while emphasizing that the poor were the first victims of the climate crisis.
“The reality is that a low, richer percentage of the planet contaminates more than the poorest 50% of the total world population, and that per capita emissions for the richer countries are much greater than those of the poorest ones,” he wrote.
Other initiatives the pope pursued included publishing the Vatican’s first pledge to slash carbon emissions, and a plan to green the Vatican’s car fleet.
Many observers say the pope’s ability to link poverty and the climate crisis over the course of his papacy reflected the time he spent in the slums of Buenos Aires, Argentina, where he was surrounded by hardship.
In 2018, the pope made his first visit to the Amazon in Peru, where he called on industry to end its destruction of the vast biome, saying that indigenous people there had “never been so threatened in their territories.”
“We have to break with the historical paradigm that views Amazonia as an inexhaustible source of supplies for other countries without concern for its inhabitants,” he said.
Despite the pope’s climate credentials, there are limits to what he was able to achieve. His advice for Catholic institutions around the world to divest from fossil fuels was taken by some, but many have resisted.
Pallecchi, for instance, said more could be done around the greening of physical and financial assets that contribute to a warming climate, including places of worship and schools, pension funds and endowments.
He also said the Catholic church could strongly influence “extractive projects that violate the rights of local communities and destroy ecosystems.”
Nonetheless, observers say the pope’s passion and influence on climate action will live on.
“Part of his legacy is that he’s ignited a movement of people around the globe, who now embrace care for creation as part of their faith,” Christina Leaño, associate director of the global Laudato Si’ Movement, told CNN.
“So even if he’s gone, we know that this will continue to live — that he’s created this new space and language for us as Christians to continue beyond his physical presence.”"
Trump administration minimized federal climate scientists’ findings of record CO2 growth,https://www.cnn.com/2025/04/22/climate/noaa-co2-record/index.html,"Trump administration minimized federal climate scientists’ findings of record CO2 growth
The Trump administration quietly released key climate change data last week that has historically been accompanied by expert analysis from government scientists at the National Oceanic and Atmospheric Administration, CNN has learned.
The lack of context minimized the government’s own findings that atmospheric levels of carbon dioxide — the most abundant planet-warming gas in the air — jumped up by a record amount in 2024.
Instead of issuing a public-facing web story with an explanation of the annual measurement, as the agency has at this time of year for about a decade, NOAA public affairs officials scuttled those plans and instead released the new data on X and Facebook on April 14, sources at the agency told CNN. The social media posts link to NOAA’s CO2 data-tracking web page.
The episode, along with recent budget and staffing cuts, illustrates the Trump administration’s resistance to publicly distributing climate change-related data. The posts on X and Facebook, for example, did not call attention to the record-high rate of year-over-year increase in CO2 concentrations.
NOAA has also suspended monthly climate press calls during which scientists would discuss global temperatures and the reasons for particular trends. There is no indication NOAA limited its scientists’ ability to speak with the press about the annual CO2 data.
A NOAA spokesperson did not reply to a request for comment.
The Trump administration plans to dramatically scale back climate research. Based on a recent Trump administration budget proposal, the Colorado-based laboratory responsible for making and publicizing the CO2 measurements would be shut down, along with all other research labs across the agency.
Biggest CO2 jump
The new data, collected by the agency’s Global Monitoring Laboratory, showed that carbon dioxide, which is the longest-lived planet-warming gas, grew by 3.75 parts per million in 2024 — 25% larger than the previous record jump of 2.96 ppm, set in 2015.
The average concentration of CO2 in the lowest level of the atmosphere for 2024 was 422.7 ppm, the atmosphere and oceans agency found. Scientists cited record-high air and ocean temperatures as factors that pushed CO2 levels higher this year, at a faster rate.
Separately, researchers have found the world’s forests and lands may be absorbing less CO2 from the atmosphere compared to previous years, a potentially ominous development given continued record high global emissions from burning fossil fuels, deforestation and other human activities. The planet’s ability to absorb CO2 from the atmosphere into forests and oceans is one of the key reasons human-caused climate change hasn’t spiraled into an even bigger disaster.
At the start of the industrial revolution, atmospheric CO2 levels were just 280 ppm. When NOAA began calculating the globally averaged measurements in 1979, the average was about 337 ppm."
One small thing you can do to help reduce your role in the climate crisis,https://www.cnn.com/2025/04/22/health/climate-crisis-plastic-utensils-wellness/index.html,"One small thing you can do to help reduce your role in the climate crisis
Follow:
Sign up for CNN’s Life, But Greener newsletter. Our limited newsletter series guides you on how to minimize your personal role in the climate crisis — and reduce your eco-anxiety.
At most places Melissa Valliant goes when dining out, she carries in her backpack a set of reusable flatware — prepared to refuse the disposable utensils she says are part of the plastic pollution crisis that’s inextricably linked with the climate crisis.
Plastic is made from chemicals derived from fossil fuels, the burning of which drive the climate crisis by producing planet-warming greenhouse gas emissions such as carbon dioxide and methane. Disposable flatware, in particular, is typically produced from a rigid plastic called polystyrene, which is made from a byproduct of petroleum.
“Plastic is contributing to climate change at every stage of its life cycle,” said Valliant, communications director at Beyond Plastics, a nationwide project that works to end plastic pollution and is based at Bennington College in Vermont.
“Plastic production, specifically, is warming the planet four times faster than air travel,” Valliant said. “In addition to its climate impact, it’s also contributing to air and water pollution during the drilling and fracking process and toxic emissions that come out of the plastic production plant.”
Additionally, the life cycle of plastics contributes to environmental injustice, as plastics tend to be both manufactured and disposed of in lower-income communities and communities of color, Valliant said. The resulting pollutants have led to a higher rate of cancer in those areas.
Processing crude oil also requires a significant amount of energy, Dr. Jillian Goldfarb, associate professor of chemical and biomolecular engineering at Cornell University in New York state, said via email. “A typical refinery will use about 1.5 barrels of water for each barrel of oil it processes,” Goldfarb, a fellow of the American Chemical Society, said.
The impact of opting for reusable flatware
Some reports estimate that potentially between 36 billion and 40 billion plastic utensils are used every year just in the United States, which is more than 100 million per day, Valliant said.
You might think recycling plastic flatware may offset the harms of using it. But as of 2018, only 9% of all the plastic the world has ever produced — around 9 billion metric tons or nearly 10 billion US tons — had been recycled, according to a report by the United Nations Environment Programme.
This means most of the rest ends up in landfills, and the intentional durability of plastics means “the fork you (ate) lunch with today could be taking up space in a landfill for the next 500 years,” Goldfarb said.
“In landfills, plastic utensils are weakened by mechanical forces like the friction of moving and being compressed among literally tons of trash, as well as biological and chemical means, like the bacteria present in landfills and corrosive chemicals,” Goldfarb said. “While this does little to degrade the utensils in a meaningful time frame, it does lead to the release of more microplastics, which can travel with leachate and can eventually contaminate groundwater supplies.”
What isn’t recycled or thrown away is burned or littered, experts said. Burning plastic utensils releases carbon dioxide into the environment, Goldfarb said, and an incinerator that isn’t at peak performance can release particulate matter and carbon monoxide.
However, emissions of these pollutants from burning are typically low when compared with those from landfills, according to reports by the US Environmental Protection Agency. The agency monitors air emissions and has standards for pollutants, Goldfarb said.
The production process for plastics has a significantly worse impact on the environment than individuals’ use of them does, which is “just another reason why waste management solutions for single-use plastic and plastic in general are not going to significantly curb this crisis,” Valliant said. “We actually need to stop pollution at the source, which means cutting back on the production and use of plastic from the get-go.”
To limit your use of plastic flatware, you could switch to compostable, bamboo or metal options, all of which generally require or produce significantly less energy, water, waste or emissions, Goldfarb said. Producing a pound of bamboo forks, for example, expends 0.46 kilowatts per hour, whereas making a pound of plastic forks expends 11 kilowatts per hour, according to Goldfarb. (Manufacturing metal utensils, however, does require more water than plastic utensils.)
But you don’t have to buy a reusable set from a trendy environmental store — you can just use what you already have, Valliant said. And if a plastic fork weighs about 5 grams, our landfills would be spared roughly 200,000 tons of single-use plastic utensils, “a weight equivalent to 889 Statues of Liberty,” Valliant added.
To put into perspective the savings on electricity use, Goldfarb said, switching from plastic forks to metal “could save enough energy to charge your iPhone once a day for five years.”
“In the sea of plastic waste we create each year, one person switching to reusable silverware is unlikely to alter the global environmental impacts of plastic utensils on a climate-mitigation scale,” Goldfarb said. “Yet this person’s action — if shared and discussed with others — can form the basis for a community of change.
“Across the country, states and municipalities are banning single-use plastics (including utensils) in growing numbers,” Goldfarb added. “These collective actions could have very meaningful impacts.”
Additionally, by reducing your share of plastic waste and its impact on pollution and the climate crisis, you would also be lowering the odds of microplastics residing in your body, experts said — a phenomenon increasingly detected by recent research. Studies have found microplastics in human blood, lungs, placentas, brains and testicles.
“This is really concerning, because a lot of these chemicals are associated with cancer, hormone disruption, diabetes, fertility issues — the more we learn, the scarier it gets,” Valliant said. “We should be reducing our exposure to it, which is why it’s so important for policymakers to force companies to do so.”
Editor’s note: One Small Thing is a new series to help you take a simple step toward a healthy, impactful goal. Try this one thing, and you’ll be heading in the right direction."
"Extended heatwave in India, Pakistan to test survivability limits, with temperatures reaching Death Valley levels",https://www.cnn.com/2025/04/15/asia/india-pakistan-heatwave-climate-crisis-intl-hnk/index.html,"Extended heatwave in India, Pakistan to test survivability limits, with temperatures reaching Death Valley levels
Follow:
For hundreds of millions of people living in India and Pakistan the early arrival of summer heatwaves has become a terrifying reality that’s testing survivability limits and putting enormous strain on energy supplies, vital crops and livelihoods.
Both countries experience heatwaves during the summer months of May and June, but this year’s heatwave season has arrived sooner than usual and is predicted to last longer too.
Temperatures are expected to climb to dangerous levels in both countries this week.
Parts of Pakistan are likely to experience heat up to 8 degrees Celsius above normal between April 14-18, according to the country’s meteorological department. Maximum temperatures in Balochistan, in country’s southwest, could reach up to 49 degrees Celsius (120 Fahrenheit).
That’s like living in Death Valley – the hottest and driest place in North America – where summer daytime temperatures often climb to similar levels.
Ayoub Khosa, who lives in Balochistan’s Dera Murad Jamali city, said the heatwave had arrived with an “intensity that caught many off guard,” creating severe challenges for its residents.
“One of the major issues is the persistent power outages,” said Khosa, who told CNN they could last for up to 16 hours a day.
“This has intensified the impact of the heat, making it harder for people to cope,” he said.
Neighboring India has also been experiencing extreme heat that arrived earlier than usual and its metrological department warned people in parts of the country to brace for an “above-normal number of heatwave days” in April.
Maximum temperatures in capital Delhi, a city of more than 16 million, have already crossed 40 degrees Celsius (104 Fahrenheit) at least three times this month – up to 5 degrees above the seasonal average – the meteorological department said.
The searing heat is being faced in several neighboring states too, including Rajasthan in the northwest, where laborers and farmers are struggling to cope and reports of illness are beginning to emerge.
Maximum recorded temperatures in parts of Rajasthan reached 44 degrees Celsius (111 Fahrenheit) on Monday, according to the meteorological department.
Anita Soni, from the women’s group Thar Mahila Sansthan, said the heat is much worse than other years and she is worried about how it will impact children and women in the state.
When the laborers or farmers head out, there is an instant lack of drinking water, people often feel like vomiting, they fall sick, or they feel dizzy, she said.
Farmer Balu Lal said people are already falling sick due to working in it. “We cannot even stand to work in it,” he said. “When I am out, I feel that people would burn due to the heat outside.”
Lal said he worries about his work and how he will earn money for his family. “We have nowhere else to go,” he said.
Testing survivability limits
Experts say the rising temperatures are testing human limits.
Extreme heat has killed tens of thousands of people in India and Pakistan in recent decades and climate experts have warned that by 2050 India will be among the first places where temperatures will cross survivability limits.
Under heatwave conditions, pregnant women and their unborn children are particularly at risk. “There is unexplained pregnancy loss and early babies,” said Neha Mankani, an advisor at the International Confederation of Midwives in Karachi.
“In the summers, 80% of babies are born preterm with respiratory issues because of the weather. We also see an increase in pregnancy induced hypertension, (which could) lead to preeclampsia – the leading cause of maternal mortality.”
India and Pakistan, both countries with glaring disparities in development, are expected to be among the nations worst affected by the climate crisis – with more than 1 billion people predicted to be impacted on the subcontinent.
The cascading effects will be devastating. Likely consequences range from a lack of food and drought to flash floods from melting ice caps, according to Mehrunissa Malik, a climate change and sustainability expert from Pakistan’s capital Islamabad.
Communities without access to cooling measures, adequate housing and those who rely on the elements for their livelihoods will feel the effects much more acutely, said Malik.
“For farmers, the weather is erratic and difficult to predict,” she said. “The main challenge is the fact that temperatures (are) rising at a time when crops aren’t at the stage to be harvested. They start getting ready earlier, yields get lower, and in this dry heat they need more water… If your plants are still young, severe heat causes little chance of them making it.”
Tofiq Pasha, a farmer and environmental activist from Karachi, said summers begin much earlier now.
His home province, Sindh, which, along with Balochistan, has recorded some of the hottest global temperatures in recent years, suffered a major drought during the winter months and the little rainfall has led to water shortages, he said.
“This is going to be a major livelihood issue among farmers,” Pasha said, explaining how temperatures also affect the arrival of pests. “Flowers don’t set, they fall, fruits don’t set, they fall, you have pest attacks, they decimate the crop, sometimes it gets too hot… the cycles are messed. Food production is extremely affected.”
Heatwaves have in the past have increased demand for electricity, leading to coal shortages while leaving millions without power. Trains have been cancelled to conserve energy, and schools have been forced shut, impacting learning.
Mujeeb Achakzai contributed reporting from Balochistan."
What month is it? Temperatures plunge to winter-like chill in East while big heat looms for West,https://www.cnn.com/2025/04/07/weather/cold-snap-east-heat-west/index.html,"What month is it? Temperatures plunge to winter-like chill in East while big heat looms for West
After more than a week of deadly severe thunderstorms and flooding, winter is making an unwelcome return for tens of millions in the eastern half of the United States. Meanwhile, the West is gearing up for a taste of summer.
Temperatures from the Gulf Coast to the Northeast dipped to levels more appropriate for the first days of March Monday morning and will come crashing down to February-like levels by Tuesday morning.
That’s bad news for millions of people in the central and southern US dealing with active flooding and those trying to clean up in the aftermath.
“If you’re somewhere that’s very wet, if you’re trying to ride this out in a home that’s had water, tonight could raise concerns of hypothermia,” Kentucky Gov. Andy Beshear warned during a Monday press conference.
Days of storms have sent parts of Kentucky underwater after more than a foot of rain fell in the state. Much of the state will drop below freezing by early Tuesday morning and some northern parts of the will plunge into the mid-20s.
“Find a safe place to go,” Beshear continued. “We need you to be dry and warm.”
Kentucky isn’t the only place going toe-to-toe with winter conditions. Low temperatures could drop to near-freezing in Tennessee with 40s possible from Texas through the Southeast Tuesday morning.
High temperatures in hard-hit areas of Kentucky, Tennessee and northeastern Arkansas will struggle to reach the 50s Tuesday, adding more chilly misery to the cleanup process.
February cold will also extend all the way to the Canadian border. Temperatures will barely top the freezing mark in Buffalo while high elevation areas of New York and New England could be stuck in the 20s Tuesday afternoon. Some snow is also possible in these areas.
Temperatures will climb a few degrees higher Wednesday and Thursday — especially in the South – but this late-winter or early spring chill will linger for many through at least Saturday.
The complete opposite is expected in the West where summer heat will build in tandem with the East’s return to winter. It’s all thanks to a dramatic pattern shift in the atmosphere that’s sending cold, Canadian air to the East while hot air surges north out of Mexico in the West.
Temperatures will start to climb early this week in parts of the West and, by midweek, it will feel like late spring from California through the Rockies.
Phoenix could hit 100 degrees for the first time this year Thursday. That’s a milestone that typically doesn’t happen until early May. The city could soar higher and land in the low 100s on Friday — a high that’s much more at home in June than April.
Thursday and Friday will offer Las Vegas two chances to hit 95 degrees for the first time this year. Like Phoenix, that’s a threshold that isn’t usually crossed until May and a June-like high temperature.
Denver could log its first 80 degree day of the year Friday then follow that up with a June-like 85 on Saturday."
Early look at hurricane season predicts over a dozen named storms. But El Niño could change things,https://www.cnn.com/2025/04/03/weather/hurricane-season-forecast-climate/index.html,"Early look at hurricane season predicts over a dozen named storms. But El Niño could change things
It’s only spring, but some weather forecasters are already focusing on this year’s Atlantic hurricane season.
The season, which spans June through November, is shaping up to be a busy one, according to hurricane researchers at Colorado State University.
CSU’s team of experts is calling for an above-average hurricane season consisting of 17 named storms with sustained winds of at least 39 mph. They expect nine storms will become hurricanes and four will strengthen into major hurricanes — Category 3 or stronger.
This year’s outlook isn’t quite as bullish as last year’s spot-on prediction of 11 hurricanes, but it is significant. The forecast of nine hurricanes is tied for the second-highest amount predicted in the 30 years the team has issued long-range hurricane forecasts in April.
CSU has called for nine hurricanes in their longest-range report  seven other times, most recently in 2022 and 2024, according to Phil Klotzbach, a senior research scientist at CSU and the lead author of the hurricane forecast.
The busy forecast signals that experts think atmospheric and oceanic factors will align to facilitate plenty of storm development months from now. But sometimes the atmosphere doesn’t play ball.
Historically, CSU’s first forecast of the year has the “lowest level of skill” because large changes can occur in the atmosphere or ocean between April and when hurricane season’s peak begins in August, the team caveated in a release.
“The CSU forecast is intended to provide a best estimate of activity in the Atlantic during the upcoming season — not an exact measure,” the team added.
CSU has about their typical level of confidence in 2025’s early forecast, compared to the above-average confidence they had in last year’s, according to Klotzbach.
“Last year, pretty much all forecast factors were pointing towards a hyperactive season, while this season, the climate signals are more of a mixed bag,” Klotzbach said.
The busy forecast hinges on a few factors
The “mixed bag” Klotzbach mentioned includes abnormally warm sea surface temperatures in the Atlantic Ocean and Caribbean Sea as well as the possible — but improbable — return of El Niño.
Warm oceans support stronger storms while El Niño’s influence has been shown to tamp down tropical activity in the Atlantic — though that wasn’t the case in 2023.
Currently, weak La Niña conditions are in effect in the tropical Pacific Ocean, according to the Climate Prediction Center. La Niña and El Niño are the cool and warm phase, respectively, of the El Niño Southern Oscillation (ENSO), a natural climate pattern driven by the interaction between the atmosphere and the ocean that influences weather worldwide.
Hurricane activity can be closely tied to what’s happening with ENSO, which is usually predictable well in advance.
For this hurricane season, ENSO is most likely going to be in its so-called neutral phase — neither El Niño nor La Niña. There’s an only about a 13% chance El Niño emerges during the peak of the season, mid-August through mid-October, according to the Climate Prediction Center.
So, without El Niño’s potential storm-suppressing influence, more storms are fair game.
But warm oceans are the biggest factor driving the CSU team’s above-average prediction this year. Parts of the Atlantic are still quite warm after hitting record-high temperatures during long stretches of 2023 and 2024. These areas will only get warmer as the hottest months of the year in the Northern Hemisphere approach, opening the door to storm formation.
“A warm Atlantic favors an above-average season, since a hurricane’s fuel source is warm ocean water,” CSU’s release explained. “Additionally, a warm Atlantic leads to lower atmospheric pressure and a more unstable atmosphere. Both conditions favor hurricane formation.”
Planet-warming fossil fuel pollution is tipping the scales toward hotter oceans that fuel dangerous storms. Scientists say unusually warm oceans will likely lead to more instances of storms rapidly intensifying, which nine of last year’s hurricanes did, including Hurricane Helene and Hurricane Milton.
In the most extreme cases of rapid intensification, which is when a storm’s wind speed increases considerably in a short period, a hurricane could be a Category 1 at one moment and explode into a Category 5 monster just 24 hours later.
That’s exactly what Milton did before it approached the United States in October. Rapid intensification remains a major forecasting challenge as underestimating its potential gives communities little time to prepare for a much larger threat.
A warmer atmosphere is also capable of soaking up more moisture like a sponge and wringing it out in the form of gushing rainfall, increasing flooding risks from tropical storms and hurricanes. Helene’s deadly flooding literally changed the landscape of western North Carolina forever.
Flooding from rainfall recently overtook storm surge as the deadliest aspect of tropical systems, according to a study from the National Hurricane Center."
