Country,Mentions,AverageSentiment
Cambodia,2,-0.9990
Haiti,2,-0.9968
Córdoba,2,-0.9967
Somalia,4,-0.9960
Ethiopia,4,-0.9960
Bihar,3,-0.9954
Derna,2,-0.9942
Myanmar,5,-0.9940
Islamabad,4,-0.9939
Tulsa,3,-0.9938
Nepal,2,-0.9930
East Africa,2,-0.9929
Ventura,2,-0.9929
Malaysia,2,-0.9919
Queensland,2,-0.9912
Jefferson County,2,-0.9903
Mobile,4,-0.9891
Bangkok,4,-0.9884
Eaton,3,-0.9878
the Soviet Union,2,-0.9878
Laos,4,-0.9877
Sichuan province,2,-0.9860
Bakersfield,2,-0.9844
Santa Ana,2,-0.9836
Bulgaria,3,-0.9828
Virginia Beach,2,-0.9808
Montpelier,2,-0.9808
Sudan,2,-0.9806
Sindh,6,-0.9803
Buncombe County,2,-0.9790
Prince George’s County,2,-0.9766
Napa County,2,-0.9766
Santa Cruz,4,-0.9764
Central Africa,2,-0.9761
Pittsburgh,2,-0.9682
Balochistan,3,-0.9676
Shreveport,2,-0.9674
Lebanon,2,-0.9604
Shandong,2,-0.9587
Karachi,2,-0.9516
Henan,2,-0.9505
Colorado Springs,2,-0.9449
Baku,5,-0.9379
Nature,2,-0.9360
Karnataka,2,-0.9330
Elderly,2,-0.9011
Springfield,3,-0.8921
Casper,2,-0.8857
Cordoba,2,-0.8822
Estonia,2,-0.8735
Columbus,2,-0.8735
Grenada,2,-0.8735
Gansu,2,-0.8186
Kansas City,12,-0.7533
El Paso,5,-0.7517
Greece,9,-0.7346
Knoxville,3,-0.7055
Sacramento,12,-0.6725
Memphis,10,-0.6679
Vietnam,13,-0.6659
Fresno,6,-0.6599
UC,2,-0.6596
Turkey,6,-0.6519
Indigenous,5,-0.6419
Missouri,21,-0.6301
Delaware,6,-0.6197
Houston,9,-0.6164
Huntsville,2,-0.5946
Manila,5,-0.5933
Alberta,4,-0.5930
Delhi,10,-0.5858
San Joaquin,2,-0.5769
Birmingham,5,-0.5668
British Columbia,8,-0.5563
South Dakota,6,-0.5563
Las Vegas,15,-0.5543
Montgomery,3,-0.5504
Thailand,9,-0.5476
Alabama,21,-0.5448
Maricopa County,9,-0.5440
Oklahoma City,10,-0.5418
New Delhi,9,-0.5402
Philippines,15,-0.5314
Charlotte,5,-0.5213
Maryland,13,-0.5194
Jackson,4,-0.5098
Pakistan,38,-0.5091
Cincinnati,4,-0.5043
Afghanistan,6,-0.5042
Charleston,4,-0.4962
Hurricanes,5,-0.4926
Little Rock,4,-0.4660
LA,4,-0.4561
St. Louis,14,-0.4386
South Korea,6,-0.4365
Phoenix,30,-0.4361
Chad,4,-0.4334
Bangladesh,11,-0.4333
Atlanta,18,-0.4191
Alberto,2,-0.4189
Yakutsk,3,-0.4069
Jamaica,3,-0.4056
Iraq,4,-0.4010
Denver,11,-0.3957
Oregon,26,-0.3955
Sichuan,4,-0.3923
Thwaites,4,-0.3912
Ecuador,3,-0.3898
Long Island,2,-0.3888
North Dakota,17,-0.3759
Kansas,20,-0.3572
Idaho,13,-0.3481
Salt Lake City,3,-0.3476
Austin,8,-0.3445
Arkansas,21,-0.3437
Poland,3,-0.3426
New York’s,3,-0.3329
Mozambique,3,-0.3327
Zimbabwe,3,-0.3321
Hartford,3,-0.3306
Dallas,17,-0.3248
San Diego,8,-0.3245
Noru,3,-0.3215
Idalia,3,-0.3194
Gaza,3,-0.3079
Louisville,3,-0.3006
Oklahoma,20,-0.2987
Colorado,27,-0.2948
Nevada,17,-0.2896
Mississippi,27,-0.2887
Spain,24,-0.2855
New Mexico,14,-0.2785
Catalonia,3,-0.2722
Portland,12,-0.2706
Bali,3,-0.2692
Illinois,19,-0.2687
Sharm el-Sheikh,11,-0.2659
Vermont,14,-0.2626
Nashville,13,-0.2622
Seville,3,-0.2583
Montana,17,-0.2552
Detroit,14,-0.2423
Kentucky,15,-0.2348
India,52,-0.2316
Libya,5,-0.2199
West Virginia,21,-0.2175
Azerbaijan,8,-0.2123
Buffalo,13,-0.2110
Belgium,5,-0.2072
Reno,5,-0.2025
Arizona,39,-0.1975
Carolinas,13,-0.1970
"Washington, DC",27,-0.1923
Singh,5,-0.1900
Ohio,19,-0.1866
Iceland,9,-0.1847
Canada,48,-0.1835
Tennessee,28,-0.1834
Seattle,10,-0.1826
Nebraska,10,-0.1689
Chicago,36,-0.1627
North Carolina,25,-0.1584
New Jersey,22,-0.1581
Texas,84,-0.1472
Walker,2,-0.1386
Iowa,17,-0.1368
the Cayman Islands,2,-0.1334
Puerto Rico,11,-0.1271
Guatemala,4,-0.1227
Kuwait,5,-0.1214
South Africa,9,-0.1181
Massachusetts,18,-0.1171
Rome,2,-0.1124
Virginia,18,-0.1118
Louisiana,37,-0.1035
Sweden,7,-0.1010
Sharm El Sheikh,2,-0.0990
Scotland,6,-0.0951
Tallahassee,2,-0.0873
